experiment           solve_time_init      solve_time_final    solve_time    pos_cost_avg    ang_cost_avg
-------------------  -----------------  ------------------  ------------  --------------  --------------
1_line_to_L                                          0.189         0.189           0.468           0.000
2_T_to_block                                         0.227         0.227           8.827           0.000
3_line_to_block                                      0.130         0.130           6.641           0.000
4_line_to_L_2                                        0.273         0.273           0.962           5.998
5_U_to_block                                         0.096         0.096           4.721          23.993
6_line_to_block_2                                    0.187         0.187           2.907           0.000
7_triangle_to_block                                  0.100         0.100         118.924           0.000
8_past                                               0.116         0.116           7.591           0.000
