experiment             solve_time_init    solve_time_final    solve_time    pos_cost_avg    ang_cost_avg
-------------------  -----------------  ------------------  ------------  --------------  --------------
1_line_to_L                      0.215               0.097         0.311           0.466           0.000
2_T_to_block                     0.228               0.075         0.303           6.556           0.000
3_line_to_block                  0.185               0.151         0.336           3.108           0.000
4_line_to_L_2                    0.254               0.146         0.400           0.810           5.998
5_U_to_block                     0.096               0.136         0.232           3.445          23.993
6_line_to_block_2                0.203               0.113         0.316           2.582           0.000
7_triangle_to_block              0.106               0.126         0.232          30.055           0.000
8_past                           0.168               0.066         0.234           7.530           0.000
