experiment           solve_time_init      solve_time_final    solve_time    pos_cost_avg    ang_cost_avg
-------------------  -----------------  ------------------  ------------  --------------  --------------
1_line_to_L                                          0.137         0.137           0.656           0.000
2_T_to_block                                         0.191         0.191           5.989           0.000
3_line_to_block                                      0.156         0.156           2.336           0.000
4_line_to_L_2                                        0.141         0.141           1.096           6.653
5_U_to_block                                         0.153         0.153           3.595          26.611
6_line_to_block_2                                    0.274         0.274           3.122           0.000
7_triangle_to_block                                  0.111         0.111          30.782           0.000
8_past                                               0.073         0.073           9.868           0.000
